CTUID,pop,pop_density,avg_size,2_bed,3_bed,detached_home,apartment,owners,renters,degree_diploma
5370130.02,3808,1452.2,2.5,175,615,1310,105,1445,80,2235
5370130.03,3543,1704.5,2.4,220,530,785,300,975,355,1810
5370131,4601,415.5,2.4,395,715,1395,40,1495,385,2410
5370132,3010,2732.6,1.9,750,320,525,500,675,875,1450
5370133.01,3444,846.5,2.9,60,505,820,0,1130,50,1985
5370133.02,5879,2482.6,2.2,845,880,1220,585,1845,660,2905
5370140.02,8605,842,2.8,470,1430,1875,375,2390,655,4165
5370140.03,7579,1105.4,3,230,1325,1635,0,2290,220,3630
5370140.04,3634,1198.5,2.8,105,675,860,0,1245,75,1935
5370141,3993,105.2,2.7,155,715,1355,0,1385,85,2090
5370142.01,3898,31.9,2.9,140,565,1290,0,1215,120,1645
5370142.02,4004,29.1,2.4,520,545,1405,45,1520,105,1700
5370143,3835,49,2.8,130,630,1295,0,1180,165,1730
5370144.01,5161,84.8,3,120,605,1645,0,1655,95,2430
5370144.02,1947,57.2,2.9,65,235,625,0,550,65,860
5370200,2745,169.9,2.6,140,405,740,0,925,55,1480
5370201,3605,584.2,2.6,305,655,915,0,1150,210,1715
5370202,6237,2078.4,2.1,1170,780,1075,1260,1555,1335,3375
5370203,2603,1325.4,2.3,180,555,870,115,890,235,1545
5370204,5128,2818.7,2.5,600,760,680,790,1025,1050,2315
5370205.01,3207,2005.4,2.4,450,485,675,0,1180,170,1745
5370205.02,5406,4486.3,1.7,1575,380,590,2115,1170,1755,2780
5370206,3699,3281.6,1.9,830,375,365,1080,830,1160,1815
5370207.01,6520,1253.7,2.7,500,845,1250,155,1770,660,3525
5370207.02,5975,3639.7,3,25,1305,1390,0,1855,180,2865
5370207.03,3862,2462.5,2.7,160,590,945,150,1370,55,1990
5370207.04,2505,3383.8,2.2,335,455,290,405,920,220,1195
5370208,3131,1817.5,2.5,245,660,685,40,825,410,1240
5370209,1585,2027.6,2.5,60,375,590,0,585,40,735
5370210,2444,2050.5,2.5,160,485,350,0,675,255,950
5370211,3012,1725.3,2.4,305,520,515,190,680,580,1580
5370212,1594,3157.7,2.2,275,305,325,60,490,280,870
5370213,3814,4763.9,1.8,1040,260,440,1275,745,1290,2145
5370214,2621,2438.1,2.2,340,460,680,215,805,395,1440
5370215,2727,3751.5,2.1,630,310,510,440,620,625,1365
5370216,4097,1882.6,2.8,90,440,1325,0,1360,115,2345
5370217.01,5159,2352.4,2,855,745,500,1195,1090,1355,2370
5370217.02,3615,1655,2.5,120,740,950,0,1280,85,1780
5370218,6991,1598.4,2.6,330,1410,1425,95,2130,560,3505
5370219,4615,1946,2.9,60,635,1565,0,1510,65,2555
5370220,6176,3422.6,2.2,745,900,1130,925,1740,810,2850
5370221,3107,2720.4,2.7,50,725,985,0,1135,50,1660
5370222.01,0,0,,,,,,,,
5370222.02,4246,3005.4,2.4,435,810,845,405,1555,190,2010
5370222.03,4577,4539.3,2.8,20,940,775,5,1370,220,2250
5370223.01,2645,1636.9,2.6,25,490,770,0,835,145,1200
5370223.02,4577,1841.3,2.7,255,880,980,0,1575,155,2430
5370223.05,3157,3210.3,3.2,45,455,740,0,845,140,1575
5370223.06,3954,2743.2,3,80,410,1180,0,1260,50,2020
5370223.07,4428,3673.5,2.6,545,370,945,60,1565,140,2210
5370223.09,8665,3044.5,3.2,100,1280,1820,90,2470,215,4310
5370223.1,4579,3660.6,2.9,215,810,985,0,1445,130,2225
5370223.12,8457,1012.7,2.2,1095,1470,305,510,2965,625,4215
5370223.13,4480,2480.3,2.8,410,530,805,0,1420,200,2380
5370223.14,4300,2724.5,2.9,120,530,950,0,1405,35,2275
5370223.15,2365,3222.9,2.7,75,525,355,0,840,20,1270
5370223.16,2102,3624.1,2.7,155,405,270,0,755,55,1175
5370224.01,10637,1740.4,3.4,155,1090,1965,0,2735,390,5215
5370224.02,3965,47.6,2.8,130,505,1295,0,1190,105,1950
5370300,1993,43.3,2.8,60,370,665,0,625,100,960
5370301,7707,693.5,2.7,445,1585,1705,0,2505,345,3795
5370302,5323,1437.3,2.2,685,945,1475,160,1655,775,2295
5370303.01,3848,2092.2,2.7,280,650,1035,0,1340,100,1840
5370303.02,8443,1344.7,2.7,460,1370,2215,100,2765,160,3890
