"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12"
"5370223.13","Hamilton","0223.13",2.80,3660.00,4640.00,4640.00,1625.00,1620.00,1620.00,3750.00,2380.00,6.80
"5370223.14","Hamilton","0223.14",2.90,3535.00,4140.00,4140.00,1445.00,1445.00,1440.00,3440.00,2020.00,6.50
"5370223.15","Hamilton","0223.15",2.70,1940.00,2325.00,2325.00,865.00,860.00,860.00,1930.00,1330.00,5.60
"5370223.16","Hamilton","0223.16",2.70,1710.00,2295.00,2290.00,810.00,810.00,815.00,1835.00,1285.00,4.90
"5370224.01","Hamilton","0224.01",3.40,7460.00,10635.00,10635.00,3120.00,3125.00,3125.00,7465.00,5830.00,6.00
"5370224.02","Hamilton","0224.02",2.80,3275.00,3740.00,3745.00,1295.00,1295.00,1295.00,3155.00,1940.00,5.30
"5370300.00","Hamilton","0300.00",2.80,1655.00,2025.00,2025.00,725.00,730.00,730.00,1720.00,1110.00,3.80
"5370301.00","Hamilton","0301.00",2.70,6140.00,7630.00,7625.00,2850.00,2855.00,2855.00,6070.00,4320.00,4.60
"5370302.00","Hamilton","0302.00",2.20,4590.00,5325.00,5325.00,2430.00,2425.00,2425.00,4590.00,2700.00,6.30
"5370303.01","Hamilton","0303.01",2.70,3240.00,3820.00,3820.00,1440.00,1440.00,1440.00,3210.00,2030.00,2.50
"5370303.02","Hamilton","0303.02",2.70,6460.00,8025.00,8030.00,2930.00,2925.00,2930.00,6490.00,4070.00,4.80
